SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,REGION_NAME,dna_rate_pct,avg_imd_score,avg_imd_decile,deprivation_band
00R,NHS Lancashire and South Cumbria ICB - 00R,North West,13.65,45.91,2.41,3-4
14L,NHS Greater Manchester ICB - 14L,North West,14.88,39.99,2.54,3-4
99A,NHS Cheshire and Merseyside ICB - 99A,North West,16.93,42.52,2.75,3-4
03F,NHS Humber and North Yorkshire ICB - 03F,North East and Yorkshire,8.82,40.34,2.95,3-4
00Q,NHS Lancashire and South Cumbria ICB - 00Q,North West,7.88,35.81,3.32,3-4
05W,NHS Staffordshire and Stoke-on-Trent ICB - 05W,Midlands,14.72,33.31,3.51,3-4
01G,NHS Greater Manchester ICB - 01G,North West,14.01,34.0,3.53,3-4
15E,NHS Birmingham and Solihull ICB - 15E,Midlands,11.44,34.17,3.53,3-4
01D,NHS Greater Manchester ICB - 01D,North West,14.23,33.31,3.54,3-4
04C,"NHS Leicester, Leicestershire and Rutland ICB - 04C",Midlands,8.13,30.89,3.58,3-4
01Y,NHS Greater Manchester ICB - 01Y,North West,11.77,30.82,3.64,3-4
00N,NHS North East and North Cumbria ICB - 00N,North East and Yorkshire,11.92,31.54,3.65,3-4
01F,NHS Cheshire and Merseyside ICB - 01F,North West,11.39,32.88,3.8,3-4
02P,NHS South Yorkshire ICB - 02P,North East and Yorkshire,4.78,30.06,3.82,3-4
00P,NHS North East and North Cumbria ICB - 00P,North East and Yorkshire,8.61,30.64,3.83,3-4
00Y,NHS Greater Manchester ICB - 00Y,North West,10.7,32.29,3.84,3-4
D2P2L,NHS Black Country ICB - D2P2L,Midlands,7.83,29.88,3.85,3-4
36J,NHS West Yorkshire ICB - 36J,North East and Yorkshire,11.57,32.11,3.93,3-4
02X,NHS South Yorkshire ICB - 02X,North East and Yorkshire,13.17,30.1,3.95,3-4
01X,NHS Cheshire and Merseyside ICB - 01X,North West,8.31,31.51,3.96,3-4
03L,NHS South Yorkshire ICB - 03L,North East and Yorkshire,6.86,29.35,4.15,5-6 (Mid)
A3A8R,NHS North East London ICB - A3A8R,London,13.11,25.56,4.17,5-6 (Mid)
00T,NHS Greater Manchester ICB - 00T,North West,11.03,30.15,4.21,5-6 (Mid)
84H,NHS North East and North Cumbria ICB - 84H,North East and Yorkshire,8.85,27.43,4.26,5-6 (Mid)
01A,NHS Lancashire and South Cumbria ICB - 01A,North West,14.67,29.19,4.27,5-6 (Mid)
03H,NHS Humber and North Yorkshire ICB - 03H,North East and Yorkshire,0.0,32.05,4.29,5-6 (Mid)
03R,NHS West Yorkshire ICB - 03R,North East and Yorkshire,3.23,27.24,4.33,5-6 (Mid)
16C,NHS North East and North Cumbria ICB - 16C,North East and Yorkshire,4.91,30.93,4.38,5-6 (Mid)
13T,NHS North East and North Cumbria ICB - 13T,North East and Yorkshire,9.18,29.09,4.41,5-6 (Mid)
02T,NHS West Yorkshire ICB - 02T,North East and Yorkshire,8.6,26.73,4.48,5-6 (Mid)
11N,NHS Cornwall and The Isles Of Scilly ICB - 11N,South West,3.27,23.29,4.55,5-6 (Mid)
12F,NHS Cheshire and Merseyside ICB - 12F,North West,10.13,29.43,4.64,5-6 (Mid)
X2C4Y,NHS West Yorkshire ICB - X2C4Y,North East and Yorkshire,9.88,24.87,4.71,5-6 (Mid)
15F,NHS West Yorkshire ICB - 15F,North East and Yorkshire,4.29,27.24,4.8,5-6 (Mid)
03N,NHS South Yorkshire ICB - 03N,North East and Yorkshire,6.7,26.95,4.84,5-6 (Mid)
02H,NHS Greater Manchester ICB - 02H,North West,7.9,25.53,4.88,5-6 (Mid)
93C,NHS North Central London ICB - 93C,London,13.22,22.74,4.88,5-6 (Mid)
72Q,NHS South East London ICB - 72Q,London,13.16,22.04,4.97,5-6 (Mid)
06T,NHS Suffolk and North East Essex ICB - 06T,East of England,9.7,23.03,5.1,5-6 (Mid)
52R,NHS Nottingham and Nottinghamshire ICB - 52R,Midlands,4.3,23.61,5.16,5-6 (Mid)
W2U3Z,NHS North West London ICB - W2U3Z,London,10.52,20.92,5.18,5-6 (Mid)
01H,NHS North East and North Cumbria ICB - 01H,North East and Yorkshire,10.35,21.91,5.19,5-6 (Mid)
00V,NHS Greater Manchester ICB - 00V,North West,14.03,23.25,5.22,5-6 (Mid)
26A,NHS Norfolk and Waveney ICB - 26A,East of England,3.75,21.7,5.26,5-6 (Mid)
07G,NHS Mid and South Essex ICB - 07G,East of England,6.81,20.63,5.27,5-6 (Mid)
03K,NHS Humber and North Yorkshire ICB - 03K,North East and Yorkshire,4.43,21.93,5.33,5-6 (Mid)
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,4.94,21.9,5.4,5-6 (Mid)
01K,NHS Lancashire and South Cumbria ICB - 01K,North West,8.36,22.67,5.42,5-6 (Mid)
99C,NHS North East and North Cumbria ICB - 99C,North East and Yorkshire,10.71,22.11,5.45,5-6 (Mid)
04Y,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,Midlands,13.35,19.62,5.46,5-6 (Mid)
99G,NHS Mid and South Essex ICB - 99G,East of England,7.09,21.7,5.5,5-6 (Mid)
M2L0M,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",Midlands,10.26,20.25,5.51,5-6 (Mid)
15N,NHS Devon ICB - 15N,South West,6.37,20.22,5.52,5-6 (Mid)
09D,NHS Sussex ICB - 09D,South East,7.68,20.98,5.55,5-6 (Mid)
71E,NHS Lincolnshire ICB - 71E,Midlands,6.17,20.43,5.63,5-6 (Mid)
91Q,NHS Kent and Medway ICB - 91Q,South East,8.63,20.16,5.65,5-6 (Mid)
11X,NHS Somerset ICB - 11X,South West,5.71,18.7,5.72,5-6 (Mid)
15M,NHS Derby and Derbyshire ICB - 15M,Midlands,4.77,20.08,5.73,5-6 (Mid)
97R,NHS Sussex ICB - 97R,South East,3.3,19.7,5.74,5-6 (Mid)
01V,NHS Cheshire and Merseyside ICB - 01V,North West,5.85,19.24,5.83,5-6 (Mid)
B2M3M,NHS Coventry and Warwickshire ICB - B2M3M,Midlands,14.59,19.15,5.89,5-6 (Mid)
02M,NHS Lancashire and South Cumbria ICB - 02M,North West,11.29,19.48,5.98,5-6 (Mid)
18C,NHS Herefordshire and Worcestershire ICB - 18C,Midlands,6.35,18.31,6.0,5-6 (Mid)
15C,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",South West,21.84,19.47,6.03,7-8
78H,NHS Northamptonshire ICB - 78H,Midlands,11.3,18.8,6.03,7-8
99E,NHS Mid and South Essex ICB - 99E,East of England,2.59,19.04,6.03,7-8
M1J4Y,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",East of England,10.69,17.95,6.09,7-8
05D,NHS Staffordshire and Stoke-on-Trent ICB - 05D,Midlands,7.74,17.83,6.1,7-8
